Implementation,Array Size,Sorting Time(s)
qs1,100,0.0008308887481689453
qs1,100,0.0001881122589111328
qs1,100,0.00018095970153808594
qs1,100,0.00018906593322753906
qs1,100,0.0001659393310546875
qs1,100,0.00019788742065429688
qs1,100,0.0001659393310546875
qs1,100,0.00015306472778320312
qs1,100,0.00016617774963378906
qs1,100,0.00016999244689941406
qs2,100,0.00017595291137695312
qs2,100,0.00016999244689941406
qs2,100,0.0001971721649169922
qs2,100,0.00014591217041015625
qs2,100,0.0001728534698486328
qs2,100,0.0001888275146484375
qs2,100,0.00018787384033203125
qs2,100,0.00018477439880371094
qs2,100,0.00016689300537109375
qs2,100,0.00018095970153808594
qs3,100,0.00019931793212890625
qs3,100,0.0001780986785888672
qs3,100,0.00016808509826660156
qs3,100,0.00018095970153808594
qs3,100,0.0001690387725830078
qs3,100,0.00021004676818847656
qs3,100,0.00016999244689941406
qs3,100,0.00017213821411132812
qs3,100,0.00016498565673828125
qs3,100,0.00018930435180664062
qs4,100,0.00017905235290527344
qs4,100,0.00014901161193847656
qs4,100,0.00015282630920410156
qs4,100,0.00014209747314453125
qs4,100,0.00014495849609375
qs4,100,0.00014591217041015625
qs4,100,0.0001480579376220703
qs4,100,0.00016689300537109375
qs4,100,0.00015807151794433594
qs4,100,0.00016617774963378906
qs5,100,0.00017523765563964844
qs5,100,0.0001518726348876953
qs5,100,0.000164031982421875
qs5,100,0.0001709461212158203
qs5,100,0.0001728534698486328
qs5,100,0.0001418590545654297
qs5,100,0.00013899803161621094
qs5,100,0.00015592575073242188
qs5,100,0.00014781951904296875
qs5,100,0.00014019012451171875
merge1,100,0.00014209747314453125
merge1,100,0.00013327598571777344
merge1,100,0.0001380443572998047
merge1,100,0.00013494491577148438
merge1,100,0.00013494491577148438
merge1,100,0.00013375282287597656
merge1,100,0.0001347064971923828
merge1,100,0.0001347064971923828
merge1,100,0.00014591217041015625
merge1,100,0.00013589859008789062
partition_sort,100,0.0005278587341308594
partition_sort,100,0.0001289844512939453
partition_sort,100,0.00012183189392089844
partition_sort,100,0.00012111663818359375
partition_sort,100,0.00012230873107910156
partition_sort,100,0.0001220703125
partition_sort,100,0.00012183189392089844
partition_sort,100,0.00012183189392089844
partition_sort,100,0.0001220703125
partition_sort,100,0.00012111663818359375
qs1,1000,0.0018241405487060547
qs1,1000,0.0017969608306884766
qs1,1000,0.0018012523651123047
qs1,1000,0.0018198490142822266
qs1,1000,0.0017819404602050781
qs1,1000,0.001789093017578125
qs1,1000,0.0017499923706054688
qs1,1000,0.0017540454864501953
qs1,1000,0.0016880035400390625
qs1,1000,0.0017669200897216797
qs2,1000,0.0020606517791748047
qs2,1000,0.0020017623901367188
qs2,1000,0.0020842552185058594
qs2,1000,0.0020580291748046875
qs2,1000,0.0021440982818603516
qs2,1000,0.0020859241485595703
qs2,1000,0.002023935317993164
qs2,1000,0.002135038375854492
qs2,1000,0.0020809173583984375
qs2,1000,0.002026081085205078
qs3,1000,0.0020089149475097656
qs3,1000,0.002017974853515625
qs3,1000,0.002064228057861328
qs3,1000,0.001989126205444336
qs3,1000,0.002012968063354492
qs3,1000,0.0021979808807373047
qs3,1000,0.002156972885131836
qs3,1000,0.0020952224731445312
qs3,1000,0.002148866653442383
qs3,1000,0.0020618438720703125
qs4,1000,0.0022430419921875
qs4,1000,0.0022161006927490234
qs4,1000,0.002315998077392578
qs4,1000,0.002357959747314453
qs4,1000,0.0022242069244384766
qs4,1000,0.0020651817321777344
qs4,1000,0.002126932144165039
qs4,1000,0.002222776412963867
qs4,1000,0.0021638870239257812
qs4,1000,0.0023310184478759766
