Implementation,Array Size,Sorting Time(s)
qs4,10000,0.02704000473022461
qs4,10000,0.027152061462402344
qs5,10000,0.025175094604492188
qs5,10000,0.02504706382751465
qs5,10000,0.025391101837158203
qs5,10000,0.02501225471496582
qs5,10000,0.024895906448364258
qs5,10000,0.02571702003479004
qs5,10000,0.025727033615112305
qs5,10000,0.02545022964477539
qs5,10000,0.025116920471191406
qs5,10000,0.024863004684448242
merge1,10000,0.027528047561645508
merge1,10000,0.02762007713317871
merge1,10000,0.027637004852294922
merge1,10000,0.02761220932006836
merge1,10000,0.027750015258789062
merge1,10000,0.027665138244628906
merge1,10000,0.027653932571411133
merge1,10000,0.027634143829345703
merge1,10000,0.027697324752807617
merge1,10000,0.027554988861083984
partition_sort,10000,0.011652231216430664
partition_sort,10000,0.011609792709350586
partition_sort,10000,0.011625051498413086
partition_sort,10000,0.011636972427368164
partition_sort,10000,0.011626958847045898
partition_sort,10000,0.011590957641601562
partition_sort,10000,0.01158905029296875
partition_sort,10000,0.011583089828491211
partition_sort,10000,0.011591911315917969
partition_sort,10000,0.011635780334472656
qs1,50000,0.06065487861633301
qs1,50000,0.060064077377319336
qs1,50000,0.05939912796020508
qs1,50000,0.059967994689941406
qs1,50000,0.05921292304992676
qs1,50000,0.059700965881347656
qs1,50000,0.05948495864868164
qs1,50000,0.06012272834777832
qs1,50000,0.060022830963134766
qs1,50000,0.06005501747131348
qs2,50000,0.09608674049377441
qs2,50000,0.0977010726928711
qs2,50000,0.09732508659362793
qs2,50000,0.09703397750854492
qs2,50000,0.09325122833251953
qs2,50000,0.0967099666595459
qs2,50000,0.09634709358215332
qs2,50000,0.09680771827697754
qs2,50000,0.10226893424987793
qs2,50000,0.09442520141601562
qs3,50000,0.0964047908782959
qs3,50000,0.09491467475891113
qs3,50000,0.0957798957824707
qs3,50000,0.09551191329956055
qs3,50000,0.09555578231811523
qs3,50000,0.09887266159057617
qs3,50000,0.09616994857788086
qs3,50000,0.09660792350769043
qs3,50000,0.09834480285644531
qs3,50000,0.1009972095489502
qs4,50000,0.15335392951965332
qs4,50000,0.15225601196289062
qs4,50000,0.1507430076599121
qs4,50000,0.14876484870910645
qs4,50000,0.15085411071777344
qs4,50000,0.15734601020812988
qs4,50000,0.15526318550109863
qs4,50000,0.1657121181488037
qs4,50000,0.16126704216003418
qs4,50000,0.1667799949645996
qs5,50000,0.13724708557128906
qs5,50000,0.13383197784423828
qs5,50000,0.13523221015930176
qs5,50000,0.13643383979797363
qs5,50000,0.13705992698669434
qs5,50000,0.1370832920074463
qs5,50000,0.1340789794921875
qs5,50000,0.13854074478149414
qs5,50000,0.13456201553344727
qs5,50000,0.1363518238067627
merge1,50000,0.16483688354492188
merge1,50000,0.16727876663208008
merge1,50000,0.16261029243469238
merge1,50000,0.16237998008728027
merge1,50000,0.16319799423217773
merge1,50000,0.16205716133117676
merge1,50000,0.16426992416381836
merge1,50000,0.16292595863342285
merge1,50000,0.1636061668395996
merge1,50000,0.16304993629455566
partition_sort,50000,0.06548094749450684
partition_sort,50000,0.06536293029785156
partition_sort,50000,0.06526708602905273
partition_sort,50000,0.06519198417663574
partition_sort,50000,0.06507515907287598
partition_sort,50000,0.06487298011779785
partition_sort,50000,0.06510806083679199
partition_sort,50000,0.06462693214416504
partition_sort,50000,0.06477594375610352
partition_sort,50000,0.07049322128295898
